series_ticker,title,n_events,n_markets,earliest_call,latest_call
KXEARNINGSMENTIONTGT,Target,2,12,2026-03-04,2026-03-04
KXEARNINGSMENTIONWMT,What will Walmart say during their earnings call?,3,13,2026-02-19,2026-02-19
KXEARNINGSMENTIONANF,Abercrombie,1,11,2026-03-04,2026-03-04
KXEARNINGSMENTIONSFM,Sprouts,1,9,2026-02-19,2026-02-19
KXEARNINGSMENTIONCRWD,CrowdStrike Earnings,2,13,2026-03-03,2026-03-03
KXEARNINGSMENTIONKO,Coca Cola Earnings Mention,2,10,2026-02-10,2026-02-10
KXEARNINGSMENTIONBAC,Bank of America Earnings Mention,2,0,,
KXEARNINGSMENTIONMSTR,Microstrategy Earnings,1,0,,
KXEARNINGSMENTIONMETA,earnings mention,4,14,2026-01-29,2026-01-29
KXEARNINGSMENTIONISRG,Intuitive Surgical,0,0,,
KXEARNINGSMENTIONSNOW,Snowflake Earnings,2,10,2026-02-26,2026-02-26
KXEARNINGSMENTIONVZ,Verizon,1,10,2026-01-30,2026-01-30
KXEARNINGSMENTIONWEN,Wendys,1,12,2026-02-13,2026-02-13
KXEARNINGSMENTIONKR,Kroger,2,12,2026-03-05,2026-03-05
KXEARNINGSMENTIONWFC,Wells Fargo,1,9,2026-01-15,2026-01-15
KXEARNINGSMENTIONORCL,What will Oracle say in their earnings call,3,13,2026-03-10,2026-03-11
KXEARNINGSMENTIONINTC,Intel Earnings Call,2,13,2026-01-23,2026-01-23
KXEARNINGSMENTIONVSCO,Victoria Secret,1,10,2026-03-05,2026-03-05
KXEARNINGSMENTIONTSLA,Tesla earnings mention,4,17,2026-01-29,2026-01-29
KXEARNINGSMENTIONALIBABA,alibaba earnings mention,1,0,,
KXEARNINGSMENTIONSTZ,Constellation Brands,2,13,2026-04-09,2026-04-09
KXEARNINGSMENTIONCBRL,Cracker Barrel Earnings,1,0,,
KXEARNINGSMENTIONDIS,disney earnings m,4,16,2026-02-02,2026-02-02
KXEARNINGSMENTIONDASH,DoorDash,1,8,2026-02-18,2026-02-18
KXEARNINGSMENTIONNKE,What Will Nike Say During Their Earnings Call?,3,0,,
KXEARNINGSMENTIONDEER,John Deere,0,0,,
KXEARNINGSMENTIONCOST,What will Costco say on their next earnings call?,3,15,2026-03-05,2026-03-05
KXEARNINGSMENTIONPLTR,Palantir earnings mention,4,15,2026-02-02,2026-02-02
KXMENTIONEARNAIR,AAR Corp Earnings Call,1,9,2026-03-25,2026-03-25
KXEARNINGSMENTIONNYT,New York Times,1,10,2026-02-04,2026-02-04
KXEARNINGSMENTIONAZO,Auto Zone,0,0,,
KXMENTIONEARNCHWY,Chewy Earnings Call,1,12,2026-03-25,2026-03-25
KXEARNINGSMENTIONHLT,HILTON,1,11,2026-02-11,2026-02-11
KXEARNINGSMENTIONALLY,Ally Earnings Call,0,0,,
KXEARNINGSMENTIONGM,GM ,0,0,,
KXEARNIGNSMENTIONJPM,JPM Earnings,0,0,,
KXEARNINGSMENTIONWING,Wingstop,1,8,2026-02-18,2026-02-18
KXEARNINGSMENTIONJPM,JPM Earnings,2,0,,
KXEARNINGSMENTIONLLY,Eli Lily,1,10,2026-02-04,2026-02-04
KXEARNINGSMENTIONLUCID,lucid earnings mention,1,0,,
KXEARNINGSMENTIONEA,EA Earnings Call,1,12,2026-03-31,2026-03-31
KXEARNINGSMENTIONRKLB,Rocket Lab Earnings,2,13,2026-02-27,2026-02-27
KXEARNINGSMENTIONCRM,Salesforce,1,0,,
KXEARNINGSMENTIONULTA,What will ULTA Beauty say during its earnings call?,2,14,2026-03-12,2026-03-12
KXEARNINGSMENTIONKTOS,Kratos,1,9,2026-02-24,2026-02-24
KXEARNINGSMENTIONSNAP,SNAP earnings mention,2,12,2026-02-04,2026-02-04
KXEARNINGSMENTIONQCOM,Qualcomm,1,12,2026-02-04,2026-02-04
KXEARNINGSMENTIONBLK,What will BlackRock say at their earnings call?,2,8,2026-01-15,2026-01-15
KXEARNINGSMENTIONMU,Micron,3,0,,
KXEARNINGSMENTIONNVDA,NVDA Earnings Mention,5,17,2026-02-25,2026-02-25
KXEARNINGSMENTIONSPOT,Spotify,1,12,2026-02-10,2026-02-10
KXEARNINGSMENTIONTSMC,TSMC Earnings Mention,1,0,,
KXEARNINGSMENTIONGOOGL,earnings mention,4,12,2026-02-04,2026-02-04
KXEARNINGSMENTIONAVAV,AeroVironment,0,0,,
KXEARNINGSMENTIONMA,Mastercard,1,12,2026-01-29,2026-01-29
KXEARNINGSMENTIONCAR,Avis ,1,10,2026-02-19,2026-02-19
KXEARNINGSMENTIONGS,Goldman Earnings,2,11,2026-01-16,2026-01-16
KXEARNINGSMENTIONAMC,AMC earnings mention,2,0,,
KXEARNINGSMENTIONSHOP,Shopify,1,8,2026-02-11,2026-02-11
KXEARNINGSMENTIONAAL,AAL Mention,2,12,2026-01-27,2026-01-27
KXEARNINGSMENTIONACI,Albertsons,1,0,,
KXEARNINGSMENTIONCVNA,Carvana,1,10,2026-02-19,2026-02-19
KXEARNINGSMENTIONMSFT,Microsoft earnings mention,4,11,2026-01-29,2026-01-29
KXEARNINGSMENTIONHD,Home Depot,2,12,2026-02-24,2026-02-24
